GEOID,category,name,rating,lat,lon
551010012014,hair,Hair by Rocco Beauty Salon,0.0,42.7499619,-87.8153305
551010012014,hair,Loc_KINGDOM 262,0.0,42.75379214682351,-87.81120592908995
551010012014,gym,Chay's Tae Kwon Do,4.5,42.7536277770996,-87.8258056640625
551010012014,coffee,Racine Danish Kringles,3.5,42.7520446777344,-87.8161468505859
551010012014,coffee,River Run Restaurant,3.0,42.7516212,-87.8226776
551010012014,daycare,Grandma’s Home Away From Home Daycare,5.0,42.749942,-87.815254
551010012014,daycare,Mama 2's Daycare,0.0,42.75492,-87.8316399
551010012014,laundry,Bubbles of Color,5.0,42.753792,-87.811206
551010012014,laundry,Zyromi Wash N' Fold,0.0,42.75171,-87.82301
551332031034,grocery,Waukesha Farmer's Market,4.4,43.0119199,-88.2349321
551332031034,grocery,Save & Save Groceries-La Tienda Mexicana,0.0,43.0108985900879,-88.2331237792969
551332031034,grocery,Speedway,1.0,43.0187377929688,-88.2392349243164
551332031034,restaurant,The Coop,4.5,43.01627,-88.23683
551332031034,restaurant,Tofte's Table,4.7,43.0120729,-88.2323931
551332031034,restaurant,Lou's Lucky Penny,5.0,43.007994,-88.241701
551332031034,restaurant,Taylor's People's Park,4.0,43.011072,-88.232649
551332031034,restaurant,Travieso,4.3,43.01152309711805,-88.23238341028522
551332031034,pharmacy,Moreland Plaza Pharmacy,4.3,43.0247451,-88.2425527
551332031034,pharmacy,Walgreens,1.8,43.0133183,-88.2348872
551332031034,pharmacy,Jendusa Pharmacy-An Aurora Pharmacy,0.0,43.0149193,-88.2355576
551332031034,pharmacy,Waukesha Pharmacy,0.0,43.0112114,-88.2430878
551332031034,pharmacy,Aurora Pharmacy,0.0,43.0149193,-88.2355576
551332031034,clinic,Waukesha Family Practice Clinic,0.0,43.0094680786133,-88.2307662963867
551332031034,clinic,Moreland Family Medicine Associates,2.3,43.0242996,-88.2377777
551332031034,clinic,Neurologic Associates of Wisconsin,3.7,43.0234618135844,-88.2401399466964
551332031034,clinic,GI Associates - Waukesha,1.7,43.024,-88.2395
551332031034,clinic,Kass Edward G MD,5.0,43.0239906,-88.2394104
551332031034,hospital,Waukesha Memorial Hospital,2.2,43.010805645315585,-88.24283200010352
551332031034,hospital,Pro Health Heart & Vascular Center,0.0,43.01147325872852,-88.24495264166042
551332031034,hospital,Moreland Surgery Center,3.7,43.0239730867611,-88.2398795885119
551332031034,hospital,Optifast Program of Waukesha Memorial Hospital,0.0,43.0139312744141,-88.236328125
551332031034,hospital,Neurologic Associates of Wisconsin,3.7,43.0234618135844,-88.2401399466964
551332031034,school,Schools-Waukesha-Public,0.0,43.0158805847168,-88.2403335571289
551332031034,school,Waukesha School District,0.0,43.0158805847168,-88.2403335571289
551332031034,school,Waukesha School District,0.0,43.0256767272949,-88.2476043701172
551332031034,school,Schools-Waukesha-Public,0.0,43.0256767272949,-88.2476043701172
551332031034,school,Waukesha Catholic School System,0.0,43.0192146,-88.250618
551332031034,bank,Educators Credit Union,4.3,43.0223618,-88.2543716
551332031034,bank,Waukesha State Bank,0.0,43.01281,-88.2332
551332031034,bank,First Federal Bank of Wisconsin,1.0,43.0215492,-88.2563019
551332031034,bank,Associated Bank,0.0,43.00997,-88.23176
551332031034,bank,Sehgal Legacy Technologies,0.0,42.46117277751879,-87.86960563234669
551332031034,hair,Van Bier Salon,4.6,43.0115485,-88.2329641
551332031034,hair,Great Clips,3.0,43.0247459,-88.2429581
551332031034,hair,Ember Hair Studio,5.0,43.01065220092686,-88.231128228836
551332031034,hair,Hair Shapers,4.3,43.0214958,-88.2520447
551332031034,hair,Karen for Hair,5.0,43.01285,-88.234251
551332031034,gym,Yoga For The People,1.0,43.0160972,-88.2413797
551332031034,gym,Right Body Fitness,5.0,43.009577,-88.229785
551332031034,gym,Cho's Martial Arts,0.0,43.0214950406516,-88.2537126168609
551332031034,gym,Cho's Martial Arts,5.0,43.0215187072754,-88.2536010742188
551332031034,gym,GYMGUYZ Greater Waukesha County,0.0,43.0069885253906,-88.2314529418945
551332031034,coffee,Waukesha Cafe House,4.9,43.00986721228767,-88.23471009352185
551332031034,coffee,Copilot Coffee Co,4.2,43.01097025183552,-88.23339046080748
551332031034,coffee,Cafe De Arts,4.7,43.007743,-88.243765
551332031034,coffee,The Steaming Cup,4.2,43.0114022,-88.2327168
551332031034,coffee,Scooters Coffee,5.0,43.01437,-88.22977
551332031034,daycare,St Luke's Lutheran Church,5.0,43.0081062316895,-88.232307434082
551332031034,daycare,hawthorne elementary School,5.0,43.0256617112028,-88.2470328288395
551332031034,daycare,Primrose School of Brookfield,5.0,43.0913930282273,-88.14164599999998
551332031034,daycare,Children's World Learning Centers,0.0,43.0247116088867,-88.2548141479492
551332031034,daycare,Waukesha Pine Street KinderCare,0.0,43.024731,-88.254783
551332031034,laundry,North Street Station Laundromat,3.7,43.016487121582,-88.2316360473633
551332031034,laundry,Summit Ave Laundry,0.0,43.02138,-88.25249
