GEOID,centroid_lat,centroid_lon
550870114003,5509468.5153978225,-9841784.867461938
550870114004,5510576.380248727,-9841834.713147238
550870115011,5509227.989502389,-9838362.192362621
550870115013,5508314.2718335735,-9839611.364902146
550870115014,5509219.206714183,-9839519.587502472
550870115021,5509774.967759185,-9838525.54842139
550870115022,5509972.875451867,-9839755.128099514
550870115023,5510927.750162201,-9838932.685519751
550870115024,5509819.694218117,-9835580.636761868
550870116001,5507796.665904429,-9834636.722157666
551010018012,5264151.992625729,-9800174.316654364
551019900000,5274600.236676137,-9730959.446914328
551010002002,5269899.5015867725,-9771220.339163663
551010002006,5268394.432450018,-9772369.740294794
551010004001,5272017.080040992,-9771311.948039196
551010004003,5272174.971614637,-9773306.90308833
551010005001,5269561.923744271,-9774025.471988201
551010005002,5271438.329022533,-9773935.943085622
551010005003,5270726.450315518,-9774016.315744076
551010005004,5270002.608626467,-9774161.719776906
550870117001,5507442.535161469,-9832414.95071051
550870117002,5507080.308592386,-9833330.373806914
550870117003,5508102.411276396,-9832980.931577563
550870118001,5509123.54931441,-9831710.476530856
550870118002,5508375.719659219,-9830608.104052665
550870120001,5506879.809525539,-9830153.261277147
550979607012,5538817.3029934345,-9964436.737626001
550979607011,5535127.07712048,-9964702.351118695
550979608001,5543460.730713294,-9967891.127132744
550979608004,5544340.424823477,-9970230.290647613
550979609001,5546203.256199066,-9969408.547465133
550979609002,5546350.616639044,-9971035.288815835
550979609004,5546396.342479678,-9970249.730754605
550979610001,5547063.486063762,-9972571.529591113
550979610002,5546049.898707799,-9971824.33597447
550310301021,5866681.401349556,-10202623.251168936
550310301022,5879790.366006629,-10201547.69938619
550310303023,5823821.376225917,-10200673.17293313
550310301011,5877195.945319259,-10228121.637443475
550310303013,5844068.649485321,-10259266.416467298
550310301013,5875280.727713769,-10217578.202635594
550310303011,5837858.277746591,-10227695.3048784
550310303012,5815046.9712735545,-10250682.572087137
550310301012,5862818.253652608,-10221239.332414707
550310301014,5890988.466125641,-10210046.104020469
550310303021,5837451.653780814,-10208642.628635172
550310303022,5837530.420027732,-10221048.709479706
550371901011,5771431.754102016,-9851530.26188813
550371901022,5759478.731185428,-9824652.642431114
550371901012,5768532.685717295,-9821964.44045715
550371901021,5763953.045002861,-9812377.184205687
551110008001,5338466.431564908,-10026329.33251977
551110011002,5366756.216813533,-10033384.842312343
551110004021,5383952.187763321,-9990079.879776327
550759612001,5633908.922788459,-9763217.286548821
550439606001,5289916.811957996,-10079583.512393873
550439601002,5333901.354968689,-10070285.6565208
550439608003,5267044.952252924,-10075274.436948035
550439612001,5243581.983202277,-10088690.480722079
550439609003,5269603.72366705,-10073538.0601896
550439604001,5298896.224643203,-10135687.53616066
550439603001,5318606.631318418,-10098924.482979288
550439611001,5256448.462529925,-10081304.730209336
550439612002,5243525.443982128,-10083607.138984293
550439603002,5310944.045427103,-10086338.130354874
550439609002,5269748.19097585,-10069414.845047431
550439604002,5309004.3353008395,-10124786.13748492
550439604003,5314274.400101373,-10112391.055240668
550439601003,5320819.350839822,-10078661.0022621
551351011003,5563311.919378171,-9878953.716929993
550979612001,5509905.935751821,-9977936.194256332
550979612002,5533556.030333159,-9968882.17206118
550979613003,5507775.799886899,-9958722.699208228
550390415003,5437756.346617059,-9885683.061026668
550390416004,5439451.25943261,-9893011.426833544
550390416005,5442054.741991161,-9891216.853957796
550390417001,5429022.28990484,-9890220.90717353
550390417002,5429007.880296236,-9883539.325744934
550390417003,5428993.828616577,-9874581.332494367
550219711001,5366715.700075069,-9921568.118641958
550219707001,5380276.728497882,-9953572.228671595
550219708003,5363013.170040232,-9975421.030362204
550219701003,5394572.267805216,-9920179.263879307
550219705002,5399153.15461719,-9957612.808191456
550219708004,5361014.041633271,-9982915.433531258
550219710004,5375664.968146579,-9927734.272488145
550219706002,5389502.233708602,-9952083.612764254
550219702003,5392853.254250886,-9938853.418275494
550219709001,5363719.64012494,-9952563.58233488
550219708001,5358822.118294588,-9964281.75590168
550219707003,5375076.475723503,-9958943.926622376
550219701004,5387953.831726151,-9915028.266497772
550219712002,5364368.813964542,-9912964.524319744
550219710003,5362928.5073812995,-9941019.737001762
550219702001,5405166.566206109,-9941004.59620292
550219709003,5365841.589801802,-9967035.443132892
550219706001,5384610.727683791,-9966951.410085194
550219709002,5368939.59507415,-9963337.15882219
550219703002,5403856.172724146,-9974220.630794175
550079601002,5912712.398293541,-10126724.636980055
550079602002,5895898.801845368,-10162565.037213426
550390418002,5412600.863605035,-9876546.356018687
550390418003,5412495.418471916,-9878169.368102768
550390418004,5411610.46674623,-9880147.617145222
551050033003,5246970.056577604,-9894048.68280825
551050008001,5266079.78051281,-9906266.275717251
551050016003,5236200.117738289,-9912248.3838074
551050021002,5239734.174953538,-9914483.904827278
551050023002,5240582.879862452,-9910219.691041896
551050026021,5245347.954491636,-9901987.15951706
550390422003,5405761.292086993,-9826112.790763382
550390413001,5437614.443690834,-9847752.395103255
550390414004,5443692.239187948,-9855948.482994488
550390421003,5428727.65605965,-9820946.090541247
550699602001,5698090.688262652,-9985891.696444448
550390408004,5429089.793985074,-9844579.311748417
550390409001,5430958.066393662,-9844304.441619502
550390409002,5430715.14705381,-9843396.585891759
550390409003,5429424.537299627,-9843225.125171475
551010016013,5283737.479807113,-9780332.652720414
551010015051,5279975.294291003,-9770482.914650423
551010019001,5285932.176983177,-9797131.702549363
551010017031,5268559.400562488,-9788667.387082003
551010020011,5286762.5183774885,-9814544.858148094
551010020012,5283280.616190452,-9816052.824959446
550019507001,5432887.999222909,-9980980.625676924
550019507002,5418774.528429124,-9980562.789929934
550791857001,5322532.591970816,-9786618.825725978
550791855002,5321140.457299608,-9788305.951842876
550791859001,5320170.088398922,-9788577.931616427
550791854002,5321151.558591922,-9789453.413208902
550791860001,5320202.667766325,-9787580.007847821
550790181001,5311935.90927922,-9783178.626933474
550791866001,5312351.205534599,-9786383.522687498
550390401005,5431612.519733705,-9844513.741098741
550390403001,5433237.49072142,-9847857.17018263
550390403003,5432130.62426587,-9848502.568388937
550039503002,5873710.348950199,-10117515.877664581
550039504002,5874041.255640301,-10118565.71462004
551050028004,5263390.434021922,-9939673.67672938
551050004002,5263849.656970777,-9911765.582785262
551050007003,5267361.47013604,-9907544.666255983
551050011003,5259380.521805814,-9912562.971875422
551050022002,5238773.482902924,-9917854.180881383
